"street_name","freq"
"ADMIRALTY DR",1531
"ADMIRALTY LINK",865
"AH HOOD RD",65
"ALJUNIED CRES",1080
"ALJUNIED RD",62
"ANCHORVALE DR",598
"ANCHORVALE LANE",264
"ANCHORVALE LINK",1049
"ANCHORVALE RD",932
"ANG MO KIO AVE 1",1886
"ANG MO KIO AVE 10",6174
"ANG MO KIO AVE 2",102
"ANG MO KIO AVE 3",5341
"ANG MO KIO AVE 4",3384
"ANG MO KIO AVE 5",2862
"ANG MO KIO AVE 6",1143
"ANG MO KIO AVE 8",825
"ANG MO KIO AVE 9",365
"ANG MO KIO ST 11",72
"ANG MO KIO ST 21",83
"ANG MO KIO ST 31",204
"ANG MO KIO ST 32",328
"ANG MO KIO ST 52",212
"BAIN ST",78
"BALAM RD",978
"BANGKIT RD",937
"BEACH RD",297
"BEDOK CTRL",102
"BEDOK NTH AVE 1",1015
"BEDOK NTH AVE 2",1022
"BEDOK NTH AVE 3",932
"BEDOK NTH AVE 4",1110
"BEDOK NTH RD",2995
"BEDOK NTH ST 1",744
"BEDOK NTH ST 2",1228
"BEDOK NTH ST 3",3379
"BEDOK NTH ST 4",251
"BEDOK RESERVOIR RD",5776
"BEDOK RESERVOIR VIEW",765
"BEDOK STH AVE 1",580
"BEDOK STH AVE 2",911
"BEDOK STH AVE 3",605
"BEDOK STH RD",1151
"BENDEMEER RD",721
"BEO CRES",223
"BISHAN ST 11",336
"BISHAN ST 12",1781
"BISHAN ST 13",1913
"BISHAN ST 22",1291
"BISHAN ST 23",955
"BISHAN ST 24",886
"BOON KENG RD",217
"BOON LAY AVE",1178
"BOON LAY DR",1163
"BOON LAY PL",1749
"BOON TIONG RD",225
"BRIGHT HILL DR",131
"BT BATOK CTRL",1208
"BT BATOK EAST AVE 3",768
"BT BATOK EAST AVE 4",1147
"BT BATOK EAST AVE 5",1640
"BT BATOK ST 11",596
"BT BATOK ST 21",1449
"BT BATOK ST 22",157
"BT BATOK ST 24",818
"BT BATOK ST 25",961
"BT BATOK ST 31",1440
"BT BATOK ST 32",752
"BT BATOK ST 33",775
"BT BATOK ST 34",979
"BT BATOK ST 51",472
"BT BATOK ST 52",1438
"BT BATOK WEST AVE 2",475
"BT BATOK WEST AVE 4",780
"BT BATOK WEST AVE 5",754
"BT BATOK WEST AVE 6",2301
"BT BATOK WEST AVE 7",147
"BT BATOK WEST AVE 8",1115
"BT MERAH CTRL",146
"BT MERAH LANE 1",23
"BT MERAH VIEW",915
"BT PANJANG RING RD",1959
"BT PURMEI RD",900
"BUANGKOK CRES",498
"BUANGKOK LINK",165
"BUFFALO RD",134
"CAMBRIDGE RD",245
"CANBERRA LINK",151
"CANBERRA RD",1356
"CANTONMENT CL",406
"CANTONMENT RD",105
"CASHEW RD",258
"CASSIA CRES",454
"CHAI CHEE AVE",527
"CHAI CHEE DR",313
"CHAI CHEE RD",894
"CHAI CHEE ST",926
"CHANDER RD",51
"CHANGI VILLAGE RD",130
"CHIN SWEE RD",46
"CHOA CHU KANG AVE 1",181
"CHOA CHU KANG AVE 2",1030
"CHOA CHU KANG AVE 3",1681
"CHOA CHU KANG AVE 4",2373
"CHOA CHU KANG AVE 5",722
"CHOA CHU KANG CRES",2710
"CHOA CHU KANG CTRL",1440
"CHOA CHU KANG DR",571
"CHOA CHU KANG LOOP",181
"CHOA CHU KANG NTH 5",584
"CHOA CHU KANG NTH 6",1022
"CHOA CHU KANG NTH 7",165
"CHOA CHU KANG ST 51",876
